sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0009_UpdateSameTask:/login.do,20,7095,7903,9238,2777,10836,0.0,1.6494845360824744,40.30943943298969
TC0009_UpdateSameTask:/;jsessionid=1565r9oy88ew89gf57ypx1c4,20,510,4,1042,1,7827,0.0,2.2212350066637048,11.759855862672147
TC0009_UpdateSameTask:/home,20,234,8,1018,4,1732,0.0,1.926040061633282,9.409570914387519
TC0009_UpdateSameTask:/plan,160,295,8,273,4,8244,0.0,6.1460454039104215,35.20782966571275
TC0009_UpdateSameTask:/plan?wicket:interface=:1:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.7455206658306013,20,39,7,172,4,237,0.0,0.8345852111500583,0.051265048614588554
TC0009_UpdateSameTask:/logout,20,41,10,97,6,365,0.0,0.7706535141800247,0.9791213104963008
TC0009_UpdateSameTask:/,20,13,7,27,4,53,0.0,0.7705050660708094,0.978932706013792
TC0016_UpdateRoles:/login.do,20,6600,6681,6829,4802,10682,0.0,1.7885888034340907,45.99852161956716
TC0016_UpdateRoles:/;jsessionid=18gm35ru9lkeg4xl9oyg8vli,20,1276,1576,1878,2,2218,0.0,2.643754130865829,57.92454973562458
TC0016_UpdateRoles:/home,20,680,496,1800,6,1825,0.0,2.32910213112845,51.43756095696984
TC0016_UpdateRoles:/plan,100,1947,773,5593,5,11965,0.0,3.687859566307715,118.8275530936532
TC0016_UpdateRoles:/plan?wicket:interface=:1:indicator:big-form:segment:part:role:name::IBehaviorListener:0:-1&random=0.04610376036565511,20,299,133,547,5,1786,0.0,0.7779982106041157,1.3901399667405765
TC0016_UpdateRoles:/logout,20,191,106,496,10,811,0.0,0.7372456502506635,0.9366763583751105
TC0016_UpdateRoles:/,20,76,33,174,8,559,0.0,0.7366482504604052,0.9359173572744015
TC0015_UpdateOrg:/login.do,20,6709,6825,7096,5131,7136,0.0,1.9809825673534074,50.94646085083201
TC0015_UpdateOrg:/;jsessionid=1h91r9vfjoebukjamk1rbmrdv,20,1545,1417,1919,2,4045,0.0,3.088803088803089,75.59905888030889
TC0015_UpdateOrg:/home,20,697,500,1798,94,1975,0.0,2.406449284081338,59.03849660841054
TC0015_UpdateOrg:/plan,240,2075,673,6925,4,13295,0.0,6.776406810288845,221.96504327018098
TC0015_UpdateOrg:/plan?wicket:interface=:1:indicator:big-form:entity:mo:aspect:mo-details:name::IBehaviorListener:0:-1&random=0.8394454578606031,20,518,58,448,5,5106,0.0,0.5703367838708757,0.5059789563549776
TC0015_UpdateOrg:/logout,20,54,26,141,9,189,0.0,0.5656108597285069,0.7186130161199095
TC0015_UpdateOrg:/,20,23,10,28,5,130,0.0,0.565642853102551,0.718653663951581
TC0014_UpdateTransmissionMedia:/;jsessionid=1gcji50fzeuhtuc0ifb6k099k,20,2965,1219,9770,2,10145,0.0,1.8846588767433095,46.12813030060309
TC0014_UpdateTransmissionMedia:/home,20,722,716,1337,7,1922,0.0,2.8015128169211376,61.54518752626418
TC0014_UpdateTransmissionMedia:/plan,200,2182,1171,5480,4,11450,0.0,5.734767025089606,112.67019489247312
TC0014_UpdateTransmissionMedia:/plan?wicket:interface=:1:indicator:big-form:entity:mo:aspect:mo-details:name::IBehaviorListener:0:-1&random=0.6374102989115448,20,1649,1436,3606,6,3988,0.0,0.6793709025442439,0.05699019582866266
TC0014_UpdateTransmissionMedia:/logout,20,50,38,92,7,204,0.0,0.5739045596717266,0.7291502266923011
TC0014_UpdateTransmissionMedia:/,20,15,10,29,6,33,0.0,0.5735918320523116,0.7287529038086498
TC0013_UpdatePlace:/;jsessionid=h8qtame2iq6717ohsf8532rus,20,6042,7090,9737,3,9993,0.0,1.9835366458395318,40.91499538207874
TC0013_UpdatePlace:/home,20,855,1086,1848,3,2037,0.0,2.8801843317972353,45.30482138356855
TC0013_UpdatePlace:/plan,260,988,86,3446,4,12737,0.0,7.357935250169798,85.93324398276546
TC0013_UpdatePlace:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:indexed::IBehaviorListener:0:-1&random=0.8376628133096905,20,1415,953,3164,5,3786,0.0,0.9517011658339282,0.0765822031881989
TC0013_UpdatePlace:/plan?wicket:interface=:1:indicator:big-form:entity:mo:aspect:mo-details:name::IBehaviorListener:0:-1&random=0.1660776531605097,20,188,76,284,4,1971,0.0,0.5748613147078268,0.04659520421948205
TC0013_UpdatePlace:/logout,20,34,24,45,10,113,0.0,0.5674885792923418,0.7209986734954459
TC0013_UpdatePlace:/,20,14,8,20,5,93,0.0,0.5680043168328079,0.7216539220698077
TC0011_UpdatePhase:/;jsessionid=mldfyrsyazh01a9zwmz394xpw,20,597,4,993,2,8705,0.0,1.9741387819563714,10.336467278649689
TC0011_UpdatePhase:/home,40,99,10,239,5,1204,0.0,1.1921437725389683,5.868805043513248
TC0011_UpdatePhase:/plan,200,407,13,177,4,11247,0.0,5.968902020473334,34.02851223251858
TC0011_UpdatePhase:/plan?wicket:interface=:1:indicator:big-form:entity:mo:aspect:mo-details:name::IBehaviorListener:0:-1&random=0.5996661214385959,20,84,11,94,6,915,0.0,0.6089577687787352,0.19811941471546446
TC0011_UpdatePhase:/logout,20,16,15,23,8,29,0.0,0.5976036095258015,0.7592600546807303
TC0011_UpdatePhase:/,20,13,9,26,5,31,0.0,0.5978894502406505,0.7596232175420765
TC0012_UpdateAgent:/;jsessionid=itcq1im3tufzyl1asmf75007,20,2590,1077,8787,6,9410,0.0,2.0519134092541296,50.220981455832565
TC0012_UpdateAgent:/home,20,933,901,1423,10,1633,0.0,6.81663258350375,167.23549601653033
TC0012_UpdateAgent:/plan,140,2235,1446,5312,4,13030,0.0,6.011937991153863,242.92737599035945
TC0012_UpdateAgent:/plan?wicket:interface=:1:indicator:big-form:segment:part:actor:name::IBehaviorListener:0:-1&random=0.9527071632814981,20,382,161,955,9,2349,0.0,1.2546264349789849,2.188796283953328
TC0012_UpdateAgent:/logout,20,98,67,228,14,250,0.0,0.8838216447920809,1.1229023045649387
TC0012_UpdateAgent:/,20,56,14,64,7,461,0.0,0.8843296781039972,1.1235477648567387
TOTAL,4660,1005,18,3367,1,13295,0.0,108.58674123266923,1012.450506269661
